course_id,rating,reviewers,date_reviews
statistical-inferences,4.887179487179488,195,2016-10-17
stem-cells,4.734177215189874,316,2018-05-07
stochasticprocesses,4.168674698795181,83,2018-05-02
strategic-business-management-microeconomics,4.75,28,2018-01-24
strategic-management,4.785333333333333,750,2015-09-04
success,4.848101265822785,553,2017-04-13
summary-statistics,4.793991416309013,233,2019-01-23
supply-chain-logistics,4.710656316160903,1417,2016-09-04
supply-chain-principles,4.561933534743202,331,2017-04-25
sustainability,4.769771528998243,569,2015-08-29
sustainable-fashion,4.841269841269841,126,2019-12-05
sustainable-finance,4.833333333333333,48,2020-05-18
sustainable-tourism,4.5041322314049586,242,2018-02-17
system-administration-it-infrastructure-services,4.657158529895776,1823,2018-01-25
systematic-review,4.774250440917108,567,2016-03-22
